group_level,region_id,admin_name,municipality_code,station_count,broad_matched_lead_stations,strong_matched_lead_stations,strong_lead_station_rate,registered_voters,voters_signed,turnout,valid_candidate_votes,progressive_bulgaria_votes,progressive_bulgaria_share,strong_lead_valid_candidate_votes,strong_lead_progressive_bulgaria_votes,strong_lead_progressive_bulgaria_share,strong_lead_valid_vote_share_of_group,strong_lead_pb_votes_minus_control_expectation,broad_lead_pb_votes_minus_control_expectation,matched_positive_residual_stations,matched_relative_high_turnout_high_share_stations,validation_issue_stations,strong_lead_validation_issue_stations,max_matched_control_score,max_pb_control_z,max_pb_share_minus_control,max_turnout_minus_control,strong_lead_sections,strong_lead_places,voting_modes_in_strong_leads,validation_issue_types,strong_lead_centroid_latitude,strong_lead_centroid_longitude,group_label
municipality,27,27. СТАРА ЗАГОРА,37,11,2,1,0.09090909090909091,4269,1988,0.46568282970250646,1890,942,0.4984126984126984,411,290,0.7055961070559611,0.21746031746031746,108.815415821501,171.92134520191405,2,0,0,0,2,10.810882232067655,0.2647577027287129,-0.0409004020829213,273700002,гр.Гурково,mixed_machine_paper,,42.6577808,25.7961809,27/37
municipality,01,01. БЛАГОЕВГРАД,11,43,4,1,0.023255813953488372,28294,15238,0.5385594118894466,14689,4797,0.3265709033970999,557,270,0.48473967684021546,0.0379195316223024,94.83982174388296,250.02059687150003,4,0,0,0,3,8.654859619196987,0.1702689797915313,0.0663117139163821,011100001,гр.Гоце Делчев,mixed_machine_paper,,41.5708122,23.72281,01/11
municipality,01,01. БЛАГОЕВГРАД,13,24,3,1,0.041666666666666664,13697,8111,0.5921734686427685,7787,1896,0.24348272762296136,407,186,0.457002457002457,0.05226659817644792,93.61832515246172,209.42615339146462,3,0,0,0,2,11.07830068952259,0.2300204549200533,-0.0076316786661613,011300002,с.Гърмен,mixed_machine_paper,,41.59659003,23.80778074,01/13
municipality,17,17. ПЛОВДИВ област,40,7,1,1,0.14285714285714285,4099,1942,0.4737740912417663,1851,1165,0.6293895191788222,272,247,0.9080882352941176,0.1469475958941113,89.002567394095,89.002567394095,1,0,0,0,3,10.937162272183988,0.3272153213018198,-0.2293390558782301,174000006,гр.Перущица,mixed_machine_paper,,42.057517,24.5479535,17/40
municipality,20,20. СИЛИСТРА,32,14,1,1,0.07142857142857142,5046,2323,0.4603646452635751,2227,993,0.44589133363268973,327,214,0.654434250764526,0.14683430624158061,85.20663744520976,85.20663744520976,1,0,0,0,2,9.64365056125981,0.2605707567131797,0.1119123025790597,203200601,с.Ситово,mixed_machine_paper,,44.02766074,27.02106714,20/32
municipality,22,22. СМОЛЯН,16,37,1,1,0.02702702702702703,10144,6061,0.5974960567823344,5843,2742,0.46927947971932227,435,301,0.6919540229885057,0.07444805750470648,79.6480075901328,79.6480075901328,1,0,0,0,2,7.638857412340822,0.1830988680232937,0.0315980846890754,221600018,с.Средногорци,mixed_machine_paper,,41.5320486,24.9115024,22/16
municipality,01,01. БЛАГОЕВГРАД,53,16,1,1,0.0625,8474,5658,0.6676894028793958,5444,896,0.16458486407053638,353,134,0.37960339943342775,0.06484202792064658,79.1854358974359,79.1854358974359,1,0,0,0,2,11.637011625990043,0.2243213481513764,-0.0344258563787412,015300003,гр.Якоруда,mixed_machine_paper,,42.01776776,23.66940022,01/53
municipality,29,29. ХАСКОВО,33,43,1,1,0.023255813953488372,21005,10180,0.4846465127350631,9755,5682,0.5824705279343926,285,249,0.8736842105263158,0.0292157867760123,78.05003762227238,78.05003762227238,1,0,0,0,2,9.43655174161134,0.2738597811307803,0.0074965684721782,293300039,с.Славяново,mixed_machine_paper,,41.80788829999999,25.780337,29/33
municipality,20,20. СИЛИСТРА,15,14,1,1,0.07142857142857142,4406,1535,0.3483885610531094,1470,489,0.3326530612244898,256,149,0.58203125,0.17414965986394557,74.76294591484465,74.76294591484465,1,1,0,0,3,10.297773780806551,0.2920427574798619,0.2268942271746078,201500507,с.Кайнарджа,mixed_machine_paper,,43.9922617,27.5079014,20/15
municipality,27,27. СТАРА ЗАГОРА,38,7,1,1,0.14285714285714285,3796,1666,0.43888303477344576,1581,672,0.4250474383301708,337,202,0.599406528189911,0.2131562302340291,74.67684887459806,74.67684887459806,1,0,0,0,2,8.39019403141969,0.2215930233667599,-0.0255413666040543,273800002,гр.Николаево,mixed_machine_paper,,42.6311313,25.7909582,27/38
municipality,15,15. ПЛЕВЕН,21,19,1,1,0.05263157894736842,7546,3739,0.4954943016167506,3580,1324,0.36983240223463687,272,167,0.6139705882352942,0.07597765363128492,72.96396396396396,72.96396396396396,1,0,0,0,2,9.302071642041522,0.2682498675145734,0.0527585042511447,152100006,с.Въбел,mixed_machine_paper,,43.6524471,24.8999419,15/21
municipality,01,01. БЛАГОЕВГРАД,02,19,3,1,0.05263157894736842,8012,5574,0.6957064403394908,5346,560,0.10475121586232697,376,113,0.300531914893617,0.07033295922184811,72.87093571605857,186.5946747862074,3,0,0,0,2,12.171175929619402,0.1938056800959005,-0.1931313356148501,010200002,гр.Белица,mixed_machine_paper,,41.94677963,23.55973005,01/02
municipality,17,17. ПЛОВДИВ област,28,22,2,1,0.045454545454545456,12216,5493,0.44965618860510803,5180,2782,0.537065637065637,354,259,0.731638418079096,0.06833976833976833,71.71327471584817,124.6778257665805,2,0,1,0,2,7.63594156762587,0.2025798720786671,0.0701881664858928,172800004,с.Чешнегирово,mixed_machine_paper,,42.1259975,24.9762944,17/28
municipality,13,13. ПАЗАРДЖИК,24,17,1,1,0.058823529411764705,12737,5967,0.4684776635000393,5715,2593,0.4537182852143482,298,200,0.6711409395973155,0.052143482064741904,68.19866814650388,68.19866814650388,1,0,0,0,2,7.954453665377833,0.2288545910956506,-0.2692208080509102,132400007,гр.Ракитово,mixed_machine_paper,,41.9890964,24.0801765,13/24
municipality,03,03. ВАРНА,16,29,2,1,0.034482758620689655,12435,5175,0.4161640530759952,4974,1681,0.33795737836751105,334,174,0.5209580838323353,0.0671491757137113,67.29179030662709,117.35470502768878,2,0,0,0,2,7.896679736708585,0.2014724260677458,0.0836259733461295,031600004,гр.Дългопол,mixed_machine_paper,,43.05397831,27.34351158,03/16
municipality,17,17. ПЛОВДИВ област,23,40,1,1,0.025,22079,9648,0.4369763123329861,9260,5219,0.5636069114470842,299,235,0.7859531772575251,0.03228941684665227,65.94530851606322,65.94530851606322,1,0,0,0,2,7.693528776176278,0.2205528712911814,-0.1277772341396799,172300039,с.Виница,mixed_machine_paper,,42.1357796,25.136362,17/23
