section_id,region_id,admin_name,municipality_code,place_name,voting_mode,registered_voters,voters_signed,turnout,total_valid_candidate_votes,progressive_bulgaria_votes,progressive_bulgaria_share,registered_voters_2024,voters_signed_2024,turnout_2024,valid_candidate_votes_2024,top_party_id_2024,top_party_name_2024,top_party_votes_2024,top_party_share_2024,ppdb_votes_2024,gerb_sds_votes_2024,dps_new_votes_2024,aps_votes_2024,ppdb_share_2024,gerb_sds_share_2024,ppdb_plus_gerb_share_2024,dps_plus_aps_share_2024,turnout_delta_2026_minus_2024,pb_share_2026_minus_2024_top_party_share,pb_share_2026_minus_2024_ppdb_share,pb_share_2026_minus_2024_ppdb_plus_gerb_share,registered_voter_delta_2026_minus_2024,valid_vote_delta_2026_minus_2024,historical_swing_lead
312500044,31,31. ЯМБОЛ,25,с.Тенево,mixed_machine_paper,584,283,0.4845890410958904,272,169,0.6213235294117647,580,146,0.2517241379310345,135,18,ГЕРБ-СДС,39,0.28888888888888886,11,39,1,1,0.08148148148148149,0.28888888888888886,0.37037037037037035,0.014814814814814815,0.23286490316485592,0.33243464052287586,0.5398420479302832,0.25095315904139437,4,137,1
203100113,20,20. СИЛИСТРА,31,гр.Силистра,mixed_machine_paper,457,243,0.5317286652078774,240,147,0.6125,493,162,0.3286004056795132,153,12,ВЪЗРАЖДАНЕ,43,0.28104575163398693,27,37,3,3,0.17647058823529413,0.24183006535947713,0.41830065359477125,0.0392156862745098,0.20312825952836422,0.3314542483660131,0.4360294117647059,0.1941993464052288,-36,87,1
170100076,17,17. ПЛОВДИВ област,01,с.Козаново,mixed_machine_paper,505,245,0.4851485148514851,240,148,0.6166666666666667,469,125,0.26652452025586354,119,18,ГЕРБ-СДС,34,0.2857142857142857,6,34,13,1,0.05042016806722689,0.2857142857142857,0.33613445378151263,0.11764705882352941,0.21862399459562154,0.330952380952381,0.5662464985994398,0.28053221288515406,36,121,1
261700027,26,26. СОФИЯ област,17,с.Лесново,mixed_machine_paper,596,298,0.5,286,163,0.5699300699300699,588,170,0.2891156462585034,163,13,АЛИАНС ЗА ПРАВА И СВОБОДИ – АПС,39,0.2392638036809816,6,37,3,39,0.03680981595092025,0.22699386503067484,0.26380368098159507,0.25766871165644173,0.2108843537414966,0.3306662662490883,0.5331202539791496,0.3061263889484748,8,123,1
030400010,03,03. ВАРНА,04,гр.Белослав,mixed_machine_paper,476,247,0.5189075630252101,242,150,0.6198347107438017,477,128,0.26834381551362685,121,18,ГЕРБ-СДС,35,0.2892561983471074,7,35,6,2,0.05785123966942149,0.2892561983471074,0.34710743801652894,0.06611570247933884,0.2505637475115833,0.3305785123966943,0.5619834710743802,0.27272727272727276,-1,121,1
312600059,31,31. ЯМБОЛ,26,гр.Ямбол,mixed_machine_paper,639,369,0.5774647887323944,360,209,0.5805555555555556,655,232,0.35419847328244275,224,18,ГЕРБ-СДС,56,0.25,29,56,3,2,0.12946428571428573,0.25,0.3794642857142857,0.022321428571428572,0.22326631544995162,0.3305555555555556,0.4510912698412699,0.2010912698412699,-16,136,1
173300002,17,17. ПЛОВДИВ област,33,гр.Съединение,mixed_machine_paper,592,326,0.5506756756756757,322,194,0.6024844720496895,583,202,0.346483704974271,191,18,ГЕРБ-СДС,52,0.27225130890052357,17,52,11,0,0.08900523560209424,0.27225130890052357,0.3612565445026178,0.05759162303664921,0.20419197070140466,0.3302331631491659,0.5134792364475952,0.24122792754707167,9,131,1
121200017,12,12. МОНТАНА,12,гр.Вършец,paper_only,139,120,0.8633093525179856,114,70,0.6140350877192983,155,102,0.6580645161290323,95,18,ГЕРБ-СДС,27,0.28421052631578947,12,27,7,2,0.12631578947368421,0.28421052631578947,0.4105263157894737,0.09473684210526316,0.2052448363889533,0.3298245614035088,0.48771929824561405,0.20350877192982458,-16,19,1
020400312,02,02. БУРГАС,04,гр.Бургас,mixed_machine_paper,586,307,0.5238907849829352,296,183,0.6182432432432432,597,163,0.2730318257956449,156,18,ГЕРБ-СДС,45,0.28846153846153844,17,45,3,0,0.10897435897435898,0.28846153846153844,0.3974358974358974,0.019230769230769232,0.2508589591872903,0.32978170478170477,0.5092688842688842,0.2208073458073458,-11,140,1
122900084,12,12. МОНТАНА,29,гр.Монтана,paper_only,119,118,0.9915966386554622,113,64,0.5663716814159292,160,87,0.54375,76,12,ВЪЗРАЖДАНЕ,18,0.23684210526315788,6,17,5,0,0.07894736842105263,0.2236842105263158,0.3026315789473684,0.06578947368421052,0.44784663865546226,0.32952957615277134,0.48742431299487654,0.2637401024685608,-41,37,1
