contrast_level,region_id,admin_name,municipality_code,mixed_station_count,paper_station_count,mixed_valid_candidate_votes,paper_valid_candidate_votes,mixed_turnout,paper_turnout,paper_minus_mixed_turnout,mixed_pb_share,paper_pb_share,paper_minus_mixed_pb_share,mixed_strong_lead_rate,paper_strong_lead_rate,paper_minus_mixed_strong_lead_rate,mixed_strong_matched_leads,paper_strong_matched_leads,paper_minus_mixed_pb_votes_above_control_expectation,mixed_validation_issue_stations,paper_validation_issue_stations
municipality,07,07. ГАБРОВО,29,45,24,11522,1654,0.433794573503378,0.547361729179911,0.11356715567653297,0.5102412775559798,0.44014510278113667,-0.07009617477484315,0.0,0.0,0.0,0,0,37.449663816342635,0,0
municipality,21,21. СЛИВЕН,11,23,7,5438,533,0.3278605566488614,0.4614121510673235,0.1335515944184621,0.44097094520044133,0.3696060037523452,-0.07136494144809613,0.13043478260869565,0.0,-0.13043478260869565,3,0,5.985540924169118,0,0
municipality,27,27. СТАРА ЗАГОРА,27,19,19,6008,1550,0.5046416938110749,0.579622372639829,0.07498067882875403,0.5995339547270306,0.5270967741935484,-0.07243718053348225,0.0,0.0,0.0,0,0,-2.191843442197511,0,0
municipality,27,27. СТАРА ЗАГОРА,12,83,7,31393,596,0.5141485518727422,0.7506112469437652,0.23646269507102302,0.5106552416143726,0.43791946308724833,-0.07273577852712426,0.024096385542168676,0.0,-0.024096385542168676,2,0,201.69332559819918,4,0
municipality,28,28. ТЪРГОВИЩЕ,02,5,35,935,1622,0.36457142857142855,0.5291890186178605,0.16461759004643195,0.26844919786096255,0.19543773119605426,-0.07301146666490829,0.0,0.0,0.0,0,0,-44.98996339990974,0,0
municipality,30,30. ШУМЕН,18,21,3,5259,160,0.3026670332691779,0.817258883248731,0.5145918499795531,0.17322684921087658,0.1,-0.07322684921087658,0.0,0.0,0.0,0,0,-8.766332684098561,0,0
municipality,12,12. МОНТАНА,24,42,11,9116,831,0.4378493232943785,0.634020618556701,0.19617129526232252,0.45239139973672665,0.37906137184115524,-0.07333002789557141,0.0,0.0,0.0,0,0,96.9350169182495,0,0
municipality,21,21. СЛИВЕН,20,162,24,41135,2204,0.4105831180926959,0.6016533195556704,0.1910702014629745,0.5291114622584174,0.455535390199637,-0.07357607205878042,0.006172839506172839,0.0,-0.006172839506172839,1,0,-65.95108625019618,0,0
municipality,10,10. КЮСТЕНДИЛ,04,10,17,2230,787,0.45538340851147285,0.6207674943566591,0.16538408584518627,0.5260089686098655,0.45235069885641677,-0.07365826975344869,0.0,0.0,0.0,0,0,0.5947529242376337,0,0
municipality,10,10. КЮСТЕНДИЛ,48,62,12,17492,751,0.4769715260464506,0.675885911840968,0.19891438579451742,0.4803338669105877,0.40612516644474034,-0.07420870046584738,0.0,0.0,0.0,0,0,38.26149232070712,0,0
municipality,02,02. БУРГАС,27,7,2,2798,108,0.5632788161993769,0.6941176470588235,0.1308388308594466,0.48463187991422446,0.4074074074074074,-0.07722447250681708,0.14285714285714285,0.0,-0.14285714285714285,1,0,-7.168685237400018,0,0
municipality,08,08. ДОБРИЧ,03,22,16,6276,1061,0.4123639141783918,0.5370553359683794,0.1246914217899876,0.5031867431485022,0.42507068803016024,-0.07811605511834196,0.0,0.0,0.0,0,0,1.4321468915025521,0,0
municipality,05,05. ВИДИН,01,8,11,1745,439,0.42198830409356725,0.5910878112712975,0.16909950717773026,0.4888252148997135,0.41002277904328016,-0.07880243585643332,0.0,0.0,0.0,0,0,1.3028420889001984,0,0
municipality,17,17. ПЛОВДИВ област,23,36,4,8991,269,0.4330392202152723,0.6342592592592593,0.201220039043987,0.5658992325658992,0.48698884758364314,-0.07891038498225611,0.027777777777777776,0.0,-0.027777777777777776,1,0,-83.63527919077369,0,0
municipality,11,11. ЛОВЕЧ,19,22,6,5448,328,0.4043379963261269,0.6152542372881356,0.21091624096200867,0.46016886930983847,0.38109756097560976,-0.07907130833422871,0.0,0.0,0.0,0,0,-6.187521516567671,0,0
municipality,04,04. ВЕЛИКО ТЪРНОВО,31,15,9,3590,585,0.3910382740379629,0.5370370370370371,0.14599876299907422,0.5615598885793872,0.48205128205128206,-0.07950860652810515,0.06666666666666667,0.0,-0.06666666666666667,1,0,-1.6555157670145633,0,0
municipality,15,15. ПЛЕВЕН,16,27,6,6161,261,0.42052221713238663,0.5143953934740882,0.09387317634170161,0.5588378509982146,0.4789272030651341,-0.0799106479330805,0.0,0.0,0.0,0,0,-0.9771432560343463,0,0
municipality,13,13. ПАЗАРДЖИК,32,5,4,1607,312,0.4884333821376281,0.6074074074074074,0.1189740252697793,0.5917859365276914,0.5096153846153846,-0.08217055191230682,0.0,0.0,0.0,0,0,-48.692127714836964,0,0
municipality,17,17. ПЛОВДИВ област,25,32,2,8935,137,0.4292924658162797,0.5407407407407407,0.11144827492446102,0.5714605484051483,0.48905109489051096,-0.0824094535146373,0.0625,0.0,-0.0625,2,0,-7.481373992355557,0,0
municipality,09,09. КЪРДЖАЛИ,15,43,43,7340,2107,0.2648869216405007,0.33379225944622914,0.06890533780572844,0.2709809264305177,0.1874703369719981,-0.08351058945851958,0.046511627906976744,0.023255813953488372,-0.023255813953488372,2,1,-130.25344841290558,1,0
municipality,22,22. СМОЛЯН,27,10,16,3294,1656,0.5957483581057725,0.6990684487646821,0.10332009065890957,0.38129933211900424,0.2977053140096618,-0.08359401810934242,0.0,0.0,0.0,0,0,4.132786176706299,0,0
municipality,08,08. ДОБРИЧ,20,8,9,1061,457,0.2791457286432161,0.4021648626144879,0.12301913397127184,0.3072573044297832,0.22319474835886213,-0.08406255607092109,0.125,0.0,-0.125,1,0,-3.2647224022807855,0,0
municipality,27,27. СТАРА ЗАГОРА,07,13,9,4364,758,0.549475714113535,0.6083969465648855,0.0589212324513505,0.46516956920256647,0.37994722955145116,-0.08522233965111531,0.07692307692307693,0.0,-0.07692307692307693,1,0,2.1675578306606145,0,0
municipality,04,04. ВЕЛИКО ТЪРНОВО,06,60,7,17226,455,0.47326964528060883,0.47058823529411764,-0.00268140998649119,0.5589225589225589,0.4725274725274725,-0.08639508639508642,0.0,0.0,0.0,0,0,-25.275391057923507,1,0
municipality,30,30. ШУМЕН,07,13,4,2990,294,0.31073613578054077,0.5714285714285714,0.26069243564803063,0.1411371237458194,0.05442176870748299,-0.08671535503833641,0.0,0.0,0.0,0,0,-24.872443472416634,1,0
municipality,29,29. ХАСКОВО,32,13,9,3340,760,0.5187575030012005,0.5516528925619835,0.03289538956078297,0.5679640718562874,0.48026315789473684,-0.08770091396155055,0.0,0.0,0.0,0,0,3.9672015343094333,0,0
municipality,26,26. СОФИЯ област,43,20,19,7079,1346,0.5352727272727272,0.6287776274244474,0.0935049001517202,0.4753496256533409,0.387072808320951,-0.0882768173323899,0.0,0.0,0.0,0,0,-0.6103922890312532,1,0
municipality,10,10. КЮСТЕНДИЛ,27,3,13,643,1076,0.5417680454176804,0.5846628924343799,0.04289484701669943,0.609642301710731,0.5195167286245354,-0.09012557308619562,0.0,0.0,0.0,0,0,-38.99756054491303,0,0
municipality,26,26. СОФИЯ област,25,16,5,5111,318,0.5603931100073972,0.8164251207729468,0.2560320107655496,0.5308158873018979,0.44025157232704404,-0.09056431497485384,0.0,0.0,0.0,0,0,-27.91670205329822,0,0
municipality,31,31. ЯМБОЛ,26,100,6,27165,366,0.4515074289560994,0.631911532385466,0.18040410342936664,0.5560095711393337,0.4644808743169399,-0.09152869682239378,0.0,0.0,0.0,0,0,-6.131120876725504,2,0
municipality,05,05. ВИДИН,16,5,22,1252,1080,0.4365365693670056,0.6284275321768327,0.1918909628098271,0.33945686900958466,0.24722222222222223,-0.09223464678736243,0.0,0.0,0.0,0,0,-57.006332710346754,0,0
municipality,09,09. КЪРДЖАЛИ,02,27,31,5282,1588,0.24694244604316548,0.36688384632666815,0.11994140028350267,0.22851192730026504,0.13602015113350127,-0.09249177616676377,0.07407407407407407,0.0,-0.07407407407407407,2,0,-11.43326485707606,0,0
municipality,12,12. МОНТАНА,02,24,17,6058,886,0.46632735856015345,0.6170780520346898,0.15075069347453635,0.48283261802575106,0.3893905191873589,-0.09344209883839216,0.0,0.0,0.0,0,0,2.4927795082362536,0,0
municipality,02,02. БУРГАС,08,14,6,2631,819,0.3238073019946343,0.6614906832298136,0.3376833812351793,0.5758266818700114,0.4822954822954823,-0.0935311995745291,0.0,0.0,0.0,0,0,3.318299990410818,0,0
municipality,02,02. БУРГАС,13,10,10,3554,847,0.6483497191011236,0.6609410007468259,0.012591281645702335,0.4614518851997749,0.36481700118063753,-0.09663488401913739,0.0,0.0,0.0,0,0,-5.9554690223335,0,0
